Store's Types;City;DATE;UnitsSold
Shopping Center stores;CACERES;01/04/2019;90
Shopping Center stores;CACERES;02/04/2019;90
Shopping Center stores;CACERES;03/04/2019;90
Shopping Center stores;CACERES;04/04/2019;123
Shopping Center stores;CACERES;05/04/2019;210
Shopping Center stores;CACERES;06/04/2019;366
Shopping Center stores;CACERES;07/04/2019;147
Shopping Center stores;CACERES;08/04/2019;162
Shopping Center stores;CACERES;09/04/2019;243
Shopping Center stores;CACERES;10/04/2019;147
Shopping Center stores;CACERES;11/04/2019;267
Shopping Center stores;CACERES;12/04/2019;177
Shopping Center stores;CACERES;13/04/2019;315
Shopping Center stores;CACERES;15/04/2019;177
Shopping Center stores;CACERES;16/04/2019;477
Shopping Center stores;CACERES;17/04/2019;420
Shopping Center stores;CACERES;18/04/2019;123
Shopping Center stores;CACERES;20/04/2019;228
ECI stores;CADIZ;01/03/2019;72
ECI stores;CADIZ;02/03/2019;57
ECI stores;CADIZ;05/03/2019;123
ECI stores;CADIZ;06/03/2019;24
ECI stores;CADIZ;07/03/2019;48
ECI stores;CADIZ;08/03/2019;48
ECI stores;CADIZ;09/03/2019;66
ECI stores;CADIZ;11/03/2019;33
ECI stores;CADIZ;12/03/2019;42
ECI stores;CADIZ;13/03/2019;138
ECI stores;CADIZ;14/03/2019;33
ECI stores;CADIZ;15/03/2019;228
ECI stores;CADIZ;16/03/2019;276
ECI stores;CADIZ;18/03/2019;72
ECI stores;CADIZ;19/03/2019;33
ECI stores;CADIZ;20/03/2019;66
ECI stores;CADIZ;21/03/2019;33
ECI stores;CADIZ;22/03/2019;114
ECI stores;CADIZ;23/03/2019;129
ECI stores;CADIZ;25/03/2019;66
ECI stores;CADIZ;26/03/2019;48
ECI stores;CADIZ;27/03/2019;42
ECI stores;CADIZ;28/03/2019;96
ECI stores;CADIZ;29/03/2019;48
ECI stores;CADIZ;30/03/2019;300
ECI stores;CADIZ;01/04/2019;105
ECI stores;CADIZ;02/04/2019;90
ECI stores;CADIZ;03/04/2019;114
ECI stores;CADIZ;04/04/2019;57
ECI stores;CADIZ;05/04/2019;96
ECI stores;CADIZ;06/04/2019;228
ECI stores;CADIZ;08/04/2019;96
ECI stores;CADIZ;09/04/2019;42
ECI stores;CADIZ;10/04/2019;66
ECI stores;CADIZ;11/04/2019;72
ECI stores;CADIZ;12/04/2019;129
ECI stores;CADIZ;13/04/2019;186
ECI stores;CADIZ;15/04/2019;186
ECI stores;CADIZ;16/04/2019;72
ECI stores;CADIZ;17/04/2019;153
ECI stores;CADIZ;20/04/2019;252
ECI stores;CARTAGENA;01/03/2019;324
ECI stores;CARTAGENA;02/03/2019;624
ECI stores;CARTAGENA;03/03/2019;462
ECI stores;CARTAGENA;04/03/2019;129
ECI stores;CARTAGENA;05/03/2019;243
ECI stores;CARTAGENA;06/03/2019;276
ECI stores;CARTAGENA;07/03/2019;105
ECI stores;CARTAGENA;08/03/2019;339
ECI stores;CARTAGENA;09/03/2019;420
ECI stores;CARTAGENA;10/03/2019;291
ECI stores;CARTAGENA;11/03/2019;123
ECI stores;CARTAGENA;12/03/2019;72
ECI stores;CARTAGENA;13/03/2019;204
ECI stores;CARTAGENA;14/03/2019;204
ECI stores;CARTAGENA;15/03/2019;405
ECI stores;CARTAGENA;16/03/2019;567
ECI stores;CARTAGENA;17/03/2019;210
ECI stores;CARTAGENA;18/03/2019;285
ECI stores;CARTAGENA;19/03/2019;153
ECI stores;CARTAGENA;20/03/2019;138
ECI stores;CARTAGENA;21/03/2019;177
ECI stores;CARTAGENA;22/03/2019;276
ECI stores;CARTAGENA;23/03/2019;252
ECI stores;CARTAGENA;24/03/2019;300
ECI stores;CARTAGENA;25/03/2019;195
ECI stores;CARTAGENA;26/03/2019;243
ECI stores;CARTAGENA;27/03/2019;267
ECI stores;CARTAGENA;28/03/2019;243
ECI stores;CARTAGENA;29/03/2019;438
ECI stores;CARTAGENA;30/03/2019;438
ECI stores;CARTAGENA;31/03/2019;876
ECI stores;CARTAGENA;01/04/2019;291
ECI stores;CARTAGENA;02/04/2019;138
ECI stores;CARTAGENA;03/04/2019;438
ECI stores;CARTAGENA;04/04/2019;276
ECI stores;CARTAGENA;05/04/2019;300
ECI stores;CARTAGENA;06/04/2019;333
ECI stores;CARTAGENA;07/04/2019;366
ECI stores;CARTAGENA;08/04/2019;162
ECI stores;CARTAGENA;09/04/2019;258
ECI stores;CARTAGENA;10/04/2019;501
ECI stores;CARTAGENA;11/04/2019;366
ECI stores;CARTAGENA;12/04/2019;291
ECI stores;CARTAGENA;13/04/2019;576
ECI stores;CARTAGENA;14/04/2019;333
ECI stores;CARTAGENA;15/04/2019;438
ECI stores;CARTAGENA;16/04/2019;258
ECI stores;CARTAGENA;17/04/2019;429
ECI stores;CARTAGENA;18/04/2019;510
ECI stores;CARTAGENA;19/04/2019;438
ECI stores;CARTAGENA;20/04/2019;357
ECI stores;CARTAGENA;21/04/2019;276
ECI stores;CASTELLON;01/03/2019;324
ECI stores;CASTELLON;02/03/2019;906
ECI stores;CASTELLON;04/03/2019;285
ECI stores;CASTELLON;05/03/2019;276
ECI stores;CASTELLON;06/03/2019;267
ECI stores;CASTELLON;07/03/2019;219
ECI stores;CASTELLON;08/03/2019;252
ECI stores;CASTELLON;09/03/2019;624
ECI stores;CASTELLON;11/03/2019;333
ECI stores;CASTELLON;12/03/2019;285
ECI stores;CASTELLON;13/03/2019;228
ECI stores;CASTELLON;14/03/2019;477
ECI stores;CASTELLON;15/03/2019;372
ECI stores;CASTELLON;16/03/2019;681
ECI stores;CASTELLON;18/03/2019;381
ECI stores;CASTELLON;20/03/2019;333
ECI stores;CASTELLON;21/03/2019;252
ECI stores;CASTELLON;22/03/2019;234
ECI stores;CASTELLON;23/03/2019;471
ECI stores;CASTELLON;26/03/2019;315
ECI stores;CASTELLON;27/03/2019;414
ECI stores;CASTELLON;28/03/2019;624
ECI stores;CASTELLON;29/03/2019;486
ECI stores;CASTELLON;30/03/2019;462
ECI stores;CASTELLON;01/04/2019;219
ECI stores;CASTELLON;02/04/2019;300
ECI stores;CASTELLON;03/04/2019;228
ECI stores;CASTELLON;04/04/2019;228
ECI stores;CASTELLON;05/04/2019;267
ECI stores;CASTELLON;06/04/2019;744
ECI stores;CASTELLON;08/04/2019;162
ECI stores;CASTELLON;09/04/2019;195
ECI stores;CASTELLON;10/04/2019;453
ECI stores;CASTELLON;11/04/2019;462
ECI stores;CASTELLON;12/04/2019;690
ECI stores;CASTELLON;13/04/2019;777
ECI stores;CASTELLON;14/04/2019;105
ECI stores;CASTELLON;15/04/2019;390
ECI stores;CASTELLON;16/04/2019;405
ECI stores;CASTELLON;17/04/2019;519
ECI stores;CASTELLON;18/04/2019;624
ECI stores;CASTELLON;19/04/2019;720
ECI stores;CASTELLON;20/04/2019;471
ECI stores;CASTELLON;21/04/2019;300
ECI stores;CORDOBA;01/03/2019;714
ECI stores;CORDOBA;02/03/2019;738
ECI stores;CORDOBA;04/03/2019;210
ECI stores;CORDOBA;05/03/2019;372
ECI stores;CORDOBA;06/03/2019;396
ECI stores;CORDOBA;07/03/2019;414
ECI stores;CORDOBA;08/03/2019;309
ECI stores;CORDOBA;09/03/2019;810
ECI stores;CORDOBA;11/03/2019;420
ECI stores;CORDOBA;12/03/2019;219
ECI stores;CORDOBA;13/03/2019;309
ECI stores;CORDOBA;14/03/2019;477
ECI stores;CORDOBA;15/03/2019;663
